charging_slots,node_id,occupied_piles,queue_length,station_id,time,waiting_vehicles
"[None, None, None]",122,0,0,1,68,[]
"[None, None, None]",123,0,0,2,68,[]
"[None, None, None]",124,0,0,3,68,[]
"[None, None, None]",125,0,0,4,68,[]
"[None, None, None]",126,0,0,5,68,[]
"[None, None, None]",127,0,0,6,68,[]
"[None, None, None]",128,0,0,7,68,[]
"[None, None, None]",121,0,0,0,69,[]
"[None, None, None]",122,0,0,1,69,[]
"[None, None, None]",123,0,0,2,69,[]
"[None, None, None]",124,0,0,3,69,[]
"[None, None, None]",125,0,0,4,69,[]
"[None, None, None]",126,0,0,5,69,[]
"[None, None, None]",127,0,0,6,69,[]
"[None, None, None]",128,0,0,7,69,[]
"[None, None, None]",121,0,0,0,70,[]
"[None, None, None]",122,0,0,1,70,[]
"[None, None, None]",123,0,0,2,70,[]
"[None, None, None]",124,0,0,3,70,[]
"[None, None, None]",125,0,0,4,70,[]
"[None, None, None]",126,0,0,5,70,[]
"[None, None, None]",127,0,0,6,70,[]
"[None, None, None]",128,0,0,7,70,[]
"[None, None, None]",121,0,0,0,71,[]
"[None, None, None]",122,0,0,1,71,[]
"[None, None, None]",123,0,0,2,71,[]
"[None, None, None]",124,0,0,3,71,[]
"[None, None, None]",125,0,0,4,71,[]
"[None, None, None]",126,0,0,5,71,[]
"[None, None, None]",127,0,0,6,71,[]
"[None, None, None]",128,0,0,7,71,[]
"[None, None, None]",121,0,0,0,72,[]
"[None, None, None]",122,0,0,1,72,[]
"[None, None, None]",123,0,0,2,72,[]
"[None, None, None]",124,0,0,3,72,[]
"[None, None, None]",125,0,0,4,72,[]
"[None, None, None]",126,0,0,5,72,[]
"[None, None, None]",127,0,0,6,72,[]
"[None, None, None]",128,0,0,7,72,[]
"[None, None, None]",121,0,0,0,73,[]
"[None, None, None]",122,0,0,1,73,[]
"[None, None, None]",123,0,0,2,73,[]
"[None, None, None]",124,0,0,3,73,[]
"[None, None, None]",125,0,0,4,73,[]
"[None, None, None]",126,0,0,5,73,[]
"[None, None, None]",127,0,0,6,73,[]
"[None, None, None]",128,0,0,7,73,[]
"[None, None, None]",121,0,0,0,74,[]
"[None, None, None]",122,0,0,1,74,[]
"[None, None, None]",123,0,0,2,74,[]
"[None, None, None]",124,0,0,3,74,[]
"[None, None, None]",125,0,0,4,74,[]
"[None, None, None]",126,0,0,5,74,[]
"[None, None, None]",127,0,0,6,74,[]
"[None, None, None]",128,0,0,7,74,[]
"[None, None, None]",121,0,0,0,75,[]
"[None, None, None]",122,0,0,1,75,[]
"[None, None, None]",123,0,0,2,75,[]
"[None, None, None]",124,0,0,3,75,[]
"[None, None, None]",125,0,0,4,75,[]
"[None, None, None]",126,0,0,5,75,[]
"[None, None, None]",127,0,0,6,75,[]
"[None, None, None]",128,0,0,7,75,[]
"[None, None, None]",121,0,0,0,76,[]
"[None, None, None]",122,0,0,1,76,[]
"[None, None, None]",123,0,0,2,76,[]
"[None, None, None]",124,0,0,3,76,[]
"[None, None, None]",125,0,0,4,76,[]
"[None, None, None]",126,0,0,5,76,[]
"[None, None, None]",127,0,0,6,76,[]
"[None, None, None]",128,0,0,7,76,[]
"[None, None, None]",121,0,0,0,77,[]
"[None, None, None]",122,0,0,1,77,[]
"[None, None, None]",123,0,0,2,77,[]
"[None, None, None]",124,0,0,3,77,[]
"[None, None, None]",125,0,0,4,77,[]
"[None, None, None]",126,0,0,5,77,[]
"[None, None, None]",127,0,0,6,77,[]
"[None, None, None]",128,0,0,7,77,[]
"[None, None, None]",121,0,0,0,78,[]
"[None, None, None]",122,0,0,1,78,[]
"[None, None, None]",123,0,0,2,78,[]
