event_type,node,reason,station_id,task_id,time,vehicle_id
charge_unreachable,0,,,,459,13
charge_unreachable,0,,,,459,17
charge_unreachable,0,,,,460,0
charge_unreachable,0,,,,460,1
charge_unreachable,0,,,,460,2
charge_unreachable,0,,,,460,3
charge_unreachable,0,,,,460,7
charge_unreachable,0,,,,460,8
charge_unreachable,0,,,,460,10
charge_unreachable,0,,,,460,12
charge_unreachable,0,,,,460,13
charge_unreachable,0,,,,460,17
charge_unreachable,0,,,,461,0
charge_unreachable,0,,,,461,1
charge_unreachable,0,,,,461,2
charge_unreachable,0,,,,461,3
charge_unreachable,0,,,,461,7
charge_unreachable,0,,,,461,8
charge_unreachable,0,,,,461,10
charge_unreachable,0,,,,461,12
charge_unreachable,0,,,,461,13
charge_unreachable,0,,,,461,17
task_released,,,,12,462,
charge_unreachable,0,,,,462,0
charge_unreachable,0,,,,462,1
charge_unreachable,0,,,,462,2
